pond_id,date,ph_mean,ph_std,ph_max,ph_min,turbidity_mean,turbidity_std,turbidity_max,turbidity_min,mq135_mean,mq135_std,mq135_max,mq135_min,mq137_mean,mq137_std,mq137_max,mq137_min,temp_deep_mean,temp_deep_std,temp_deep_max,temp_deep_min,temp_shallow_mean,temp_shallow_std,temp_shallow_max,temp_shallow_min,hardness_mean,hardness_std,hardness_max,hardness_min,rgb_r_mean,rgb_r_std,rgb_r_max,rgb_r_min,rgb_g_mean,rgb_g_std,rgb_g_max,rgb_g_min,rgb_b_mean,rgb_b_std,rgb_b_max,rgb_b_min,vertical_temp_diff_mean,vertical_temp_diff_std,vertical_temp_diff_max,vertical_temp_diff_min,rgb_brightness_mean,rgb_brightness_std,rgb_brightness_max,rgb_brightness_min,ph_range,death_count,feeding_amount,medication_given,death_count_lag1,feeding_amount_lag1,mq137_mean_roll3,ph_range_roll3
1,2025-10-20,9.750331302361005,0.7836530845109899,11.63,0.92,1886.2467631378522,206.3099712268263,3945.0,0.0,166.9097486671744,525.2506085254507,4095.0,0.0,420.006854531607,48.2519809674504,644.0,208.0,26.585380807311502,0.7018668627494954,27.56,24.5,26.43958111195735,0.7290176401871555,27.44,23.12,129.94696115765421,55.804189059859866,2555.68,0.0,81.4047981721249,46.67948952894685,148.0,9.0,88.84653465346534,43.3534011560376,195.0,13.0,82.23343488194973,44.817292174709465,159.0,8.0,-0.14579969535415094,0.16418244281722363,0.0,-3.3200000000000003,252.48476770754,134.35821613909317,484.0,30.0,10.71,9.0,20.0,1.0,,,420.006854531607,10.71
1,2025-10-21,9.138231707317074,0.28397732738293047,10.3,7.39,1897.7191535150646,189.09755381090085,2828.0,0.0,73.94261119081779,19.411274210722617,111.0,0.0,336.80308464849355,40.54251266441056,419.0,147.0,24.439479913916788,0.5400294168239558,25.44,23.25,24.28747130559541,0.5449666849728788,25.25,23.06,1524.384637733142,11860.307410329775,183655.96,134.47,86.5706599713056,42.53119364323328,148.0,34.0,89.48816355810617,43.52104444330053,150.0,36.0,83.63414634146342,45.124517076189,168.0,28.0,-0.152008608321377,0.0429298030730521,0.0,-0.26000000000000156,259.6929698708752,131.11262600101404,463.0,98.0,2.910000000000001,,,,9.0,20.0,378.4049695900503,6.8100000000000005
1,2025-10-22,9.355560093348892,0.3009813801402288,10.64,5.49,1874.6995332555425,255.01557964337104,3780.0,0.0,127.86872812135356,27.331113458622458,190.0,0.0,312.46849474912483,34.98792051343318,404.0,134.0,24.32119019836639,0.7320328802501009,25.25,22.25,24.190326721120186,0.7558145175635508,25.12,22.0,-6332.220385064177,42897.771760531,236135.9,-347964.1,88.70361726954492,36.662097875731185,154.0,22.0,92.67619603267211,38.73932287075512,245.0,42.0,84.59043173862311,38.34260769871411,183.0,29.0,-0.13086347724620775,0.0603043557808117,0.060000000000002274,-0.7600000000000016,265.97024504084015,113.4757084890981,547.0,93.0,5.15,1.0,21.0,1.0,,,356.42614464307513,6.256666666666668
1,2025-10-23,9.026909090909092,0.23066628714863446,9.9,8.67,1809.7454545454545,60.62673233319323,1916.0,1685.0,149.29090909090908,34.354186076955756,216.0,0.0,293.25454545454545,19.406201931358787,332.0,219.0,23.179636363636366,0.07239203036665161,23.25,23.0,23.025636363636366,0.08084653125621355,23.12,22.87,-27743.043636363644,218507.81772017453,215704.68,-336826.64,73.47272727272727,33.80984655253147,129.0,20.0,79.2909090909091,35.69867345147836,135.0,38.0,69.69090909090909,36.77905640305349,129.0,27.0,-0.1540000000000001,0.03562146668638036,-0.05999999999999872,-0.25,222.45454545454547,104.79624289664456,392.0,85.0,1.2300000000000004,,,,1.0,21.0,314.1753749507213,3.0966666666666676
1,2025-10-26,8.80518102372035,0.2510149366859465,9.88,7.83,1842.2784019975031,53.55108444693921,2410.0,1599.0,291.5792759051186,95.19249718320766,942.0,122.0,454.2958801498127,262.44526304642187,1789.0,149.0,25.68863920099875,0.7058999723129088,27.06,24.62,25.515955056179774,0.71457723024005,26.94,22.12,0.0,0.0,0.0,0.0,53.72284644194757,29.479197578761266,175.0,18.0,57.75530586766542,31.86165485246455,238.0,27.0,50.8876404494382,31.53180710886325,236.0,24.0,-0.17268414481897612,0.22028484142309745,0.8099999999999987,-4.759999999999998,162.36579275905117,92.28946190330727,649.0,69.0,2.0500000000000007,,,,,,353.3396401178277,2.8100000000000005
1,2025-10-27,8.751247765462997,0.3183551168676585,10.26,6.85,1826.7826242402575,149.3826732252464,2601.0,1406.0,262.4326063639614,34.24839076187545,398.0,55.0,277.760815159099,42.21834630143946,414.0,83.0,24.303578834465497,0.4619542659964283,25.19,23.56,24.159059706828746,0.4731395411543741,25.06,23.37,105.9102288165892,159.1995199542613,603.39,0.0,84.2824454772971,41.77375737783737,157.0,35.0,87.35502323918485,41.95619207722152,192.0,37.0,82.17697533071147,44.02935601056465,155.0,31.0,-0.14451912763675356,0.05175627316677902,0.060000000000002274,-0.3100000000000023,253.81444404719343,127.61640692454327,470.0,104.0,3.41,3.0,21.0,1.0,,,341.77041358781906,2.2300000000000004
1,2025-10-28,8.60953637660485,0.2880033231127789,9.66,1.56,1651.5684736091298,85.85233997191919,2149.0,1236.0,271.4358059914408,28.29719352310031,317.0,83.0,311.9604136947218,38.354788007267864,372.0,89.0,24.03752496433666,0.42209035189543176,24.88,23.44,23.907806704707564,0.43868564889837386,24.75,23.31,696.3263873038517,543.0802227593122,2763.87,177.95,83.65299572039943,41.06943280202405,165.0,35.0,86.13445078459344,42.182427961212554,168.0,35.0,80.2706847360913,44.74089814215052,163.0,26.0,-0.1297182596291011,0.05391579640580026,0.19000000000000128,-0.26000000000000156,250.05813124108417,127.93551812508338,496.0,97.0,8.1,2.0,22.0,1.0,3.0,21.0,348.0057030012112,4.5200000000000005
1,2025-10-29,8.767929993964996,0.2968831646518235,9.89,7.98,1553.8436934218466,168.84679638689815,2108.0,1082.0,319.3693421846711,57.60187343147621,421.0,88.0,332.9215449607725,44.09043051856214,428.0,155.0,25.043397706698855,1.1846203378100755,26.62,23.19,24.925045262522634,1.2058632478299407,26.5,23.06,12453.688213639107,51053.90316472609,317079.5,99.32,76.81170790585395,44.496113742713355,143.0,14.0,79.56366928183463,45.20229311075124,148.0,28.0,73.08026554013277,47.62835648006603,144.0,23.0,-0.11835244417622207,0.07065173726543361,0.3100000000000023,-0.3200000000000003,229.45564272782136,137.25835373533081,431.0,65.0,1.9100000000000001,2.0,22.0,1.0,2.0,22.0,307.5475912715311,4.473333333333334
1,2025-10-30,8.764609277058085,0.3385856499301901,10.06,7.44,1284.4187212703719,149.09984427359794,1814.0,876.0,304.6652737150021,32.70260289164574,368.0,112.0,356.01964061847053,54.4181908650773,474.0,160.0,26.35952361053071,0.9484402035874152,27.88,25.0,26.241341412452986,0.9662687679768089,27.81,24.87,141.03596740493106,39.86048478004602,219.65,73.17,88.27747597158378,46.136683273284746,151.0,20.0,91.58462181362307,46.62727176709592,153.0,19.0,86.65608023401587,48.33316110485848,168.0,19.0,-0.1181821980777268,0.05276308727331303,0.060000000000002274,-0.26000000000000156,266.5181780192227,141.0495084031109,472.0,58.0,2.62,6.0,22.0,1.0,2.0,22.0,333.63386642465497,4.21
1,2025-10-31,8.870094268476622,0.3645113596084785,10.28,0.0,1266.6199095022625,200.52938319043844,2030.0,463.0,283.577677224736,32.414196274783954,334.0,99.0,338.6470588235294,37.48900830766834,403.0,137.0,26.119958521870288,0.7951871674314268,27.5,24.44,25.98802790346908,0.8239363674819878,27.44,24.25,148.20222096530918,43.079880312594376,303.62,73.5,84.18401206636501,46.19122914564535,148.0,20.0,87.2944947209653,46.710780552782616,150.0,36.0,82.67684766214178,47.5922898163236,152.0,25.0,-0.13193061840120662,0.05911300621908172,0.060000000000002274,-0.3200000000000003,254.1553544494721,140.46176205290462,443.0,82.0,10.28,3.0,22.0,1.0,6.0,22.0,342.52941480092414,4.9366666666666665
1,2025-11-01,8.776296296296296,0.2695417743367113,10.22,7.35,1104.1413667188315,180.6884807680466,2302.0,721.0,275.85758998435057,41.0992746512761,362.0,77.0,302.7782994261868,42.1426817475196,402.0,51.0,24.703521126760563,0.8996208701546899,26.31,23.31,24.565571205007824,0.9199539051748409,26.18,23.06,879.1782629107981,5840.655247031197,246184.98,102.87,64.04068857589985,39.77589115096459,143.0,32.0,66.73813249869588,40.486566643228024,186.0,34.0,61.48095983307251,41.44888037397022,146.0,23.0,-0.13794992175273865,0.055741552401578305,0.060000000000002274,-0.3200000000000003,192.25978090766824,121.59429064854791,436.0,96.0,2.870000000000001,,,,3.0,22.0,332.48166628939555,5.256666666666667
1,2025-11-02,8.753128258602711,0.2947560020095318,10.04,7.8,1017.2808481056657,130.58931244132492,1421.0,201.0,267.48070907194995,35.549286925167245,307.0,10.0,292.7740702120264,41.160314251424545,386.0,44.0,24.790319777546056,0.5050389021647866,25.75,23.5,24.6671254779284,0.5218845330352816,25.68,23.37,252.034212721585,132.44488558192302,1279.25,112.24,77.03823427181091,48.788571254538134,144.0,22.0,85.02259297879736,45.14629877713258,146.0,35.0,80.30935001737922,45.46915336443932,144.0,32.0,-0.12319429961765738,0.053839845137025645,0.19000000000000128,-0.26000000000000156,242.3701772679875,139.09776177223378,431.0,94.0,2.2399999999999993,2.0,23.0,1.0,,,311.3998094872475,5.13
1,2025-11-03,8.58703125,0.22506056988618284,9.6,7.39,866.4036458333334,161.21294834014338,2436.0,579.0,262.578125,35.06575904742118,422.0,73.0,273.734375,33.333934530044054,421.0,87.0,23.405859375000002,0.34530765941517155,25.5,23.19,23.238125,0.3155146237605938,25.37,21.5,31158.56440104167,70323.18829193793,272556.7,0.0,30.205729166666668,16.798043790422245,131.0,24.0,49.453125,14.572153802684287,135.0,42.0,43.994791666666664,14.158556591710234,129.0,37.0,-0.167734375,0.31428118036184477,-0.05999999999999872,-3.879999999999999,123.65364583333333,45.41347423425866,395.0,103.0,2.21,,,,2.0,23.0,289.7622482127377,2.44
1,2025-11-04,8.834679089026915,0.28776132026255713,9.98,7.79,1231.9497929606625,272.8774896454699,1889.0,645.0,415.05900621118013,30.306797159400695,465.0,260.0,316.62784679089026,27.90278141494384,368.0,167.0,24.942189440993786,0.790051043806726,26.0,23.06,24.867060041407868,0.7869176641608776,26.0,23.06,995.536552795031,8802.29651701163,353096.36,0.0,95.40010351966873,44.2419886276756,144.0,37.0,98.81884057971014,44.99281601095899,149.0,40.0,93.02898550724638,47.42371768289279,149.0,30.0,-0.07512939958592123,0.05964102718184701,0.13000000000000256,-0.259999999999998,287.24792960662523,136.62529175764044,440.0,107.0,2.1900000000000004,,,,,,294.37876400097224,2.2133333333333334
1,2025-11-05,8.612933611400765,0.3461529284905255,9.68,0.0,1073.9551616266945,210.11280268589243,2136.0,72.0,406.89607229753216,30.974528128345074,444.0,214.0,319.1727493917275,29.19795480025084,374.0,165.0,24.804070212026417,0.9985197733479224,26.44,23.38,24.728216892596457,1.0096545341814964,26.37,23.25,484.97016336461587,624.651662874483,4489.46,102.43,81.38512339242266,47.686692201304425,143.0,21.0,91.23357664233576,42.21022885747484,149.0,41.0,85.16927354883559,44.236367912604905,145.0,26.0,-0.0758533194299618,0.06154713160805505,0.13000000000000256,-0.25,257.787973583594,133.69670004224355,434.0,88.0,9.68,4.0,22.0,1.0,,,303.1783237275393,4.693333333333333
1,2025-11-06,8.579461057023643,0.32387591002050825,10.08,6.92,1029.1599443671766,176.9695413985543,1621.0,637.0,447.73922114047286,33.4561746603853,518.0,266.0,337.70305980528514,39.46568531763836,413.0,149.0,25.580490264255914,1.1613614811901158,27.31,24.0,25.49531988873435,1.1778900820797034,27.25,23.87,210.79167593880388,102.69430695659156,453.49,87.22,78.44332406119611,49.7628734030641,145.0,26.0,91.8289290681502,41.337473611204764,153.0,42.0,87.48157162726008,41.72807218292068,146.0,40.0,-0.08517037552155775,0.05709615540546511,0.25,-0.26000000000000156,257.7538247566064,132.67889673018834,441.0,109.0,3.16,,,,4.0,22.0,324.5012186626343,5.010000000000001
1,2025-11-07,8.519395203336808,0.3130685912958726,10.03,7.47,976.1053180396246,169.67967764931245,1823.0,525.0,492.26485922836287,45.525559378981,573.0,290.0,385.55474452554745,44.94135657945871,466.0,174.0,26.58702120264164,0.9995036618914461,28.19,25.19,26.494730622175876,1.0019862256860639,28.12,25.12,137.42505387556483,33.83885041484116,201.83,77.55,80.49843587069864,47.215038072874954,151.0,27.0,88.62877997914494,43.231641239353394,150.0,39.0,83.79527285366702,45.265590893676475,176.0,30.0,-0.092290580465763,0.050492722023134325,0.13000000000000256,-0.25,252.9224887035106,135.16612880658383,477.0,106.0,2.5599999999999996,,,,,,347.47685124085336,5.133333333333333
1,2025-11-08,8.432997218358832,0.25130211437214706,9.57,7.77,915.4937413073714,234.3796822232592,1594.0,364.0,532.1300417246175,32.67869064693784,647.0,376.0,421.625173852573,32.34860086975363,477.0,260.0,26.764930458970795,0.7629352211584602,28.06,25.69,26.6609909596662,0.7733432953352708,28.0,25.56,128.64826147426982,25.306624893114787,176.4,77.83,80.28859527121001,46.87405684959526,144.0,27.0,87.76425591098749,43.53613258175989,147.0,39.0,82.04554937413074,45.373277073173234,144.0,31.0,-0.10393949930458957,0.04544529620420969,0.060000000000002274,-0.25,250.09840055632824,135.4102727496571,434.0,106.0,1.8000000000000007,,,,,,381.62765939446854,2.506666666666667
1,2025-11-09,8.43484532499131,0.2530930058298939,9.49,7.78,772.8706986444213,133.60007930055775,1379.0,334.0,543.9071949947862,29.302023153197407,591.0,389.0,428.6649287452207,36.17318964749226,507.0,279.0,26.7474244004171,0.7891449340801653,28.19,25.62,26.63891901286062,0.8007211496971525,28.12,25.5,128.7369099756691,24.948772056582836,179.38,77.06,76.30795968022245,51.16709906110944,145.0,25.0,89.3204727146333,43.152173260199454,148.0,42.0,84.48627042057699,44.344839385656115,146.0,32.0,-0.1085053875564826,0.04954863434024807,0.17999999999999972,-0.25,250.11470281543274,138.53942835398104,434.0,104.0,1.71,3.0,25.0,1.0,,,411.94828237444705,2.0233333333333334
1,2025-11-10,8.324894142554694,0.22928534149193533,9.34,6.4,711.711362032463,86.71486822155802,941.0,302.0,527.8352152434721,23.221915090242238,563.0,379.0,397.5165843330981,22.247855491321115,426.0,265.0,24.69908962597036,0.6000234879609285,26.12,23.62,24.54958009880028,0.6005947165314018,26.06,23.44,338.05845800988004,200.72901528949396,1262.79,139.88,76.29463655610445,45.4307266924759,144.0,24.0,83.93295695130557,42.29360198343309,147.0,37.0,77.54057868736768,43.42976702815305,145.0,27.0,-0.14950952717007748,0.04057658146280121,0.0,-0.26000000000000156,237.7681721947777,130.7668612632242,436.0,98.0,2.9399999999999995,13.0,25.0,1.0,3.0,25.0,415.93556231029726,2.15
1,2025-11-11,8.293600973236009,0.229115501537873,9.38,7.46,725.2453945081683,123.08426949127987,1088.0,397.0,555.4508168230795,22.636422232046435,587.0,417.0,417.90997566909977,29.613103725773048,470.0,257.0,24.205936739659364,0.48828700622418353,25.12,23.56,24.08005908932916,0.4974653033919765,25.0,23.44,523.6675217240181,281.35178126664846,1381.33,181.76,78.55613486270421,46.92456210331874,156.0,26.0,86.31908237747653,43.84470906105591,162.0,39.0,80.98262078554049,44.70689247436723,158.0,31.0,-0.125877650330205,0.04335026076971846,0.05999999999999872,-0.259999999999998,245.85783802572124,135.13315544120448,474.0,104.0,1.9200000000000008,13.0,16.0,1.0,13.0,25.0,414.69716291580625,2.19
1,2025-11-12,8.284127492877493,0.19934615454764698,9.27,7.14,544.4889601139602,182.4799940308659,1044.0,0.0,569.9358974358975,23.640343849756086,616.0,422.0,389.55804843304844,26.40379042772047,436.0,239.0,23.437033475783476,0.25202336796931624,23.81,22.94,23.30655982905983,0.26403960036785673,23.68,22.75,-19519.776637037037,102701.28129841515,340273.3,-440399.82,78.01602564102564,43.7555239684165,152.0,27.0,85.13603988603988,40.88382331027535,161.0,37.0,80.01994301994301,41.417547138493276,164.0,31.0,-0.13047364672364617,0.042271915895541405,0.0,-0.26000000000000156,243.17200854700855,125.59808314399116,466.0,104.0,2.13,,,,13.0,16.0,401.66153614508204,2.33
1,2025-11-13,8.249686847599165,0.20086660068355708,9.1,6.82,242.6242171189979,118.96494296632957,711.0,0.0,587.8121085594989,18.841171077006926,606.0,461.0,366.1231732776618,23.28824890775558,441.0,250.0,23.114425887265135,0.4461448465446206,24.81,22.88,22.968956158663882,0.449676960013294,24.68,22.75,-60385.677536534444,106632.25134817894,272.05,-467298.46,48.839248434237994,13.75112183551664,123.0,37.0,50.80793319415449,14.04120727666687,125.0,39.0,44.118997912317326,15.49127282445677,126.0,32.0,-0.14546972860125273,0.03703072655701496,-0.05999999999999872,-0.25,143.7661795407098,43.21692418245387,374.0,109.0,2.2799999999999994,,,,,,391.19706579327,2.11
1,2025-11-15,8.64058574879227,0.22106325300011215,9.55,7.94,57.78442028985507,132.46156607953785,977.0,0.0,619.7355072463768,42.84988306465908,776.0,455.0,539.7028985507246,98.50986371115796,958.0,344.0,25.325640096618358,0.8078639626655956,26.5,23.88,25.21618961352657,0.8094253888392046,26.37,23.75,0.0,0.0,0.0,0.0,86.3725845410628,46.411108651341564,239.0,33.0,90.57548309178743,46.415609447369214,255.0,36.0,85.28381642512078,48.41395398385236,207.0,29.0,-0.10945048309178744,0.05175354061833705,0.13000000000000256,-0.259999999999998,262.231884057971,141.16984468808434,701.0,98.0,1.6100000000000003,,,,,,431.7947067538116,2.0066666666666664
1,2025-11-16,8.554427860696517,0.1664557815213871,9.27,8.09,0.291044776119403,2.19552239944595,25.0,0.0,586.6542288557214,16.98473260528931,606.0,463.0,441.5771144278607,21.516919599682275,465.0,293.0,23.639875621890546,0.1762967189709875,24.0,23.31,23.509452736318405,0.17689536195805147,23.81,23.18,0.0,0.0,0.0,0.0,39.124378109452735,2.97276964091964,47.0,19.0,43.63681592039801,3.3843468059122643,52.0,24.0,35.78606965174129,2.8849951443057416,45.0,17.0,-0.1304228855721392,0.039938484788657344,0.0,-0.25,118.54726368159204,9.135390881551137,144.0,60.0,1.1799999999999997,3.0,4.0,1.0,,,449.13439541874897,1.6899999999999997
1,2025-11-19,9.02048113207547,0.29875477706933634,10.17,3.81,567.0641509433963,164.46058276204417,1251.0,0.0,534.3028301886792,23.21202905977144,561.0,372.0,428.7103773584906,23.567562470509657,469.0,268.0,18.94606132075472,0.5709188061062498,19.94,17.81,18.820603773584907,0.5839298392637159,19.87,17.68,0.0,0.0,0.0,0.0,88.81792452830189,51.70495542692053,148.0,16.0,97.09198113207547,46.60896878856468,151.0,31.0,91.05990566037735,48.68739257103698,159.0,22.0,-0.1254575471698109,0.05103994576628242,0.3099999999999987,-0.3100000000000023,276.96981132075473,146.9230874094783,451.0,73.0,6.359999999999999,,,,3.0,4.0,469.9967967790253,3.0499999999999994
